time (min)/weight (g),Set3_D31,Set3_D32,Set3_D33,Set2_D21,Set2_D22,Set2_D23,Set1_D11,Set1_D12,Set1_D13
256.0,526.0,695.0,522.0,347.7,378.7,398.7,764.0,736.3,664.0
257.0,527.0,697.0,523.3,349.0,380.0,400.3,765.7,738.3,666.0
258.0,528.0,699.0,524.7,350.0,381.0,401.3,767.0,739.7,668.0
259.0,529.0,701.0,526.3,351.3,382.3,402.7,768.7,741.3,669.0
260.0,531.0,702.0,527.7,352.7,383.3,404.0,770.3,743.0,671.0
261.0,532.0,704.0,529.0,353.7,384.7,405.7,772.0,744.3,673.0
262.0,534.0,705.7,530.7,355.0,386.0,406.7,773.3,746.0,675.0
263.0,535.0,707.3,531.7,356.3,387.0,408.0,775.0,747.3,676.0
264.0,536.0,709.0,533.3,357.3,388.3,409.0,776.3,748.7,678.0
265.0,538.0,710.7,535.0,358.3,389.3,410.7,778.0,750.7,679.0
266.0,539.0,712.3,536.3,359.7,390.7,411.7,780.0,751.7,681.0
267.0,540.0,714.0,538.0,361.0,391.7,413.0,781.0,753.3,683.0
268.0,542.0,715.7,539.0,362.0,393.0,414.3,782.7,754.7,685.0
269.0,543.0,717.0,540.7,363.0,394.0,415.7,784.7,756.3,686.0
270.0,544.0,718.7,542.0,364.3,395.3,416.7,785.7,757.7,687.0
271.0,546.0,720.7,543.7,365.7,396.3,418.3,787.3,759.0,689.0
272.0,547.0,722.0,544.7,367.0,397.7,419.3,789.0,761.0,691.0
273.0,548.0,723.7,546.0,368.0,399.0,420.7,790.3,762.3,693.0
274.0,550.0,725.3,547.7,369.0,400.0,421.7,792.0,763.7,694.0
275.0,551.0,727.0,549.0,370.0,401.3,423.0,793.3,765.0,696.0
276.0,552.0,728.7,550.3,371.3,402.3,424.7,794.7,766.3,697.0
277.0,554.0,730.0,552.0,372.7,403.7,425.7,796.3,768.0,699.0
278.0,555.0,731.7,553.0,373.7,404.7,427.0,797.7,769.3,701.0
279.0,556.0,733.0,554.7,375.3,406.0,428.0,799.3,770.3,702.0
280.0,557.0,735.0,556.0,376.3,407.0,429.3,801.0,772.0,704.0
281.0,559.0,736.3,557.3,377.3,408.3,430.3,802.0,773.0,706.0
282.0,560.0,738.0,558.7,378.3,409.3,432.3,803.7,774.7,708.0
283.0,561.0,739.3,560.0,379.7,410.7,433.3,805.0,776.0,709.0
284.0,563.0,741.0,561.7,380.7,411.7,434.7,806.3,777.3,711.0
285.0,564.0,742.7,562.7,382.0,413.0,435.7,807.7,779.0,712.0
286.0,565.0,744.0,564.0,383.3,414.0,436.7,809.0,780.0,714.0
287.0,567.0,745.7,565.3,384.3,415.3,438.0,810.7,781.3,715.0
288.0,568.0,747.0,567.0,385.3,416.7,439.0,812.0,782.7,717.0
289.0,569.0,748.7,568.0,386.3,417.7,440.7,813.3,784.3,718.0
290.0,570.0,750.3,569.3,387.7,418.7,441.7,814.7,785.3,720.0
291.0,572.0,751.7,571.0,389.0,420.0,442.7,816.0,786.3,721.0
292.0,573.0,753.3,572.3,390.0,421.0,444.3,817.3,788.0,723.0
293.0,574.0,754.7,573.7,391.3,422.3,445.3,818.7,789.3,724.0
294.0,575.0,756.3,575.0,392.3,423.3,446.7,820.3,790.3,726.0
295.0,577.0,757.7,576.3,393.3,425.0,447.7,821.3,792.0,727.0
296.0,578.0,759.3,577.7,394.3,425.7,449.0,823.0,793.0,729.0
297.0,579.0,760.7,579.0,396.0,427.0,450.3,824.0,794.7,730.0
298.0,580.0,762.3,580.3,397.0,428.0,451.3,825.7,795.7,732.0
299.0,581.0,763.3,581.7,398.0,429.3,453.0,826.7,797.0,734.0
300.0,583.0,765.0,583.0,399.0,430.3,453.7,828.0,798.3,735.0
301.0,584.0,766.7,584.0,400.7,431.3,455.0,829.0,799.3,736.0
302.0,585.0,767.7,585.3,401.7,432.7,456.7,830.3,801.0,738.0
303.0,586.0,769.0,587.0,402.7,433.7,457.7,832.0,802.0,740.0
304.0,588.0,770.7,588.0,404.0,435.0,458.7,833.0,803.3,741.0
305.0,589.0,772.0,589.3,405.0,436.0,460.0,834.7,804.7,742.0
306.0,590.0,773.7,591.0,406.3,437.3,461.0,835.7,805.7,744.0
307.0,591.0,775.0,592.0,407.3,438.3,462.3,837.0,806.7,745.0
308.0,593.0,776.3,593.0,408.3,439.7,463.3,838.3,808.3,746.0
