Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
312,6116.7,6066.7,6003.3,4185,4483.3,5133.3,8968.3,7805,6710,
313,6126.7,6076.7,6013.3,4193.3,4491.7,5143.3,8976.7,7815,6720,
314,6138.3,6086.7,6021.7,4200,4500,5153.3,8985,7825,6730,
315,6146.7,6096.7,6031.7,4210,4510,5163.3,8995,7835,6740,
316,6156.7,6106.7,6041.7,4220,4518.3,5173.3,9003.3,7845,6750,
317,6166.7,6116.7,6051.7,4230,4528.3,5181.7,9011.7,7855,6760,
318,6176.7,6126.7,6061.7,4236.7,4536.7,5191.7,9020,7865,6775,
319,6186.7,6135,6070,4245,4546.7,5201.7,9028.3,7875,6785,
320,6196.7,6143.3,6080,4255,4556.7,5208.3,9036.7,7885,6795,
321,6206.7,6153.3,6086.7,4263.3,4565,5218.3,9046.7,7895,6805,
322,6216.7,6163.3,6096.7,4271.7,4571.7,5228.3,9055,7905,6815,
323,6226.7,6171.7,6106.7,4281.7,4581.7,5236.7,9063.3,7915,6825,
324,6235,6181.7,6116.7,4291.7,4591.7,5246.7,9070,7925,6835,
325,6245,6191.7,6126.7,4296.7,4601.7,5256.7,9078.3,7935,6845,
326,6255,6200,6133.3,4306.7,4608.3,5265,9086.7,7945,6855,
327,6265,6210,6141.7,4316.7,4618.3,5275,9095,7955,6865,
328,6275,6220,6151.7,4323.3,4626.7,5283.3,9103.3,7965,6880,
329,6283.3,6230,6161.7,4333.3,4636.7,5291.7,9110,7975,6890,
330,6293.3,6238.3,6171.7,4341.7,4643.3,5301.7,9118.3,7985,6900,
331,6303.3,6246.7,6180,4348.3,4653.3,5310,9126.7,7995,6910,
332,6313.3,6255,6188.3,4358.3,4663.3,5320,9135,8005,6920,
333,6323.3,6265,6196.7,4368.3,4671.7,5328.3,9143.3,8015,6930,
334,6331.7,6275,6206.7,4373.3,4678.3,5338.3,9148.3,8025,6940,
335,6340,6285,6215,4383.3,4688.3,5345,9156.7,8035,6950,
336,6350,6295,6225,4393.3,4696.7,5355,9165,8045,6960,
