Time (min) ,F11_T5,F12_T6,F13_T7,F21_T1,F22_T2,F23_T13,F31_T18,F32_T19,F33_T20,F34_T17
,,,,8375,8856.7,,,,,
,,,,8375,8856.7,,,,,
,,,,8375,8858.3,,,,,
,,,,8375,8860,,,,,
,,,,8375,8860,,,,,
,,,,8375,8860,,,,,
,,,,8375,8860,,,,,
,,,,8376.7,8860,,,,,
,,,,8376.7,8861.7,,,,,
,,,,8378.3,8861.7,,,,,
,,,,8378.3,8861.7,,,,,
,,,,8378.3,8863.3,,,,,
,,,,8378.3,8863.3,,,,,
,,,,8378.3,8865,,,,,
,,,,8378.3,8865,,,,,
,,,,8378.3,8865,,,,,
,,,,8378.3,8865,,,,,
,,,,8378.3,8865,,,,,
,,,,8378.3,8865,,,,,
,,,,8380,8865,,,,,
,,,,8380,8866.7,,,,,
,,,,8380,8868.3,,,,,
,,,,8380,8868.3,,,,,
,,,,8381.7,8868.3,,,,,
,,,,8381.7,8870,,,,,
,,,,8381.7,8870,,,,,
,,,,8381.7,8870,,,,,
,,,,8381.7,8870,,,,,
,,,,8381.7,8870,,,,,
,,,,8383.3,8870,,,,,
,,,,8383.3,8871.7,,,,,
,,,,8383.3,8871.7,,,,,
,,,,8383.3,8871.7,,,,,
,,,,8383.3,8873.3,,,,,
,,,,8383.3,8873.3,,,,,
,,,,8383.3,8875,,,,,
,,,,8383.3,8875,,,,,
,,,,8383.3,8875,,,,,
,,,,8383.3,8875,,,,,
,,,,8386.7,8875,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8876.7,,,,,
,,,,8386.7,8880,,,,,
,,,,8386.7,8880,,,,,
,,,,8386.7,8880,,,,,
,,,,8386.7,8880,,,,,
,,,,8386.7,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8390,8881.7,,,,,
,,,,8390,8881.7,,,,,
,,,,8388.3,8881.7,,,,,
,,,,8388.3,8883.3,,,,,
,,,,8388.3,8883.3,,,,,
,,,,8390,8886.7,,,,,
,,,,8388.3,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8886.7,,,,,
,,,,8390,8890,,,,,
,,,,8390,8890,,,,,
,,,,8390,8890,,,,,
,,,,8391.7,8890,,,,,
,,,,8391.7,8890,,,,,
,,,,8393.3,8890,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8891.7,,,,,
,,,,8393.3,8893.3,,,,,
,,,,8393.3,8893.3,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8895,,,,,
,,,,8395,8896.7,,,,,
,,,,8395,8896.7,,,,,
,,,,8395,8898.3,,,,,
,,,,8395,8896.7,,,,,
,,,,8396.7,8898.3,,,,,
,,,,8396.7,8898.3,,,,,
,,,,8396.7,8898.3,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8900,,,,,
,,,,8398.3,8901.7,,,,,
,,,,8398.3,8901.7,,,,,
,,,,8398.3,8901.7,,,,,
,,,,8398.3,8901.7,,,,,
,,,,8398.3,8903.3,,,,,
,,,,8400,8903.3,,,,,
,,,,8398.3,8903.3,,,,,
,,,,8400,8905,,,,,
,,,,8398.3,8905,,,,,
,,,,8285,8905,,,,,
,,,,8285,8905,,,,,
,,,,8287.5,8905,,,,,
,,,,8285,8906.7,,,,,
,,,,8287.5,8906.7,,,,,
,,,,8285,8906.7,,,,,
,,,,8287.5,8906.7,,,,,
,,,,8287.5,8906.7,,,,,
,,,,8287.5,8906.7,,,,,
,,,,8287.5,8906.7,,,,,
,,,,8290,8906.7,,,,,
,,,,8290,8906.7,,,,,
,,,,8290,8906.7,,,,,
,,,,8290,8906.7,,,,,
,,,,8290,8910,,,,,
,,,,8290,8910,,,,,
,,,,8290,8910,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8290,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8911.7,,,,,
,,,,8292.5,8913.3,,,,,
,,,,8292.5,8913.3,,,,,
,,,,8292.5,8913.3,,,,,
,,,,8292.5,8915,,,,,
,,,,8292.5,8915,,,,,
,,,,8292.5,8915,,,,,
,,,,8292.5,8915,,,,,
,,,,8292.5,8915,,,,,
,,,,8295,8915,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8915,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8295,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8916.7,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8297.5,8918.3,,,,,
,,,,8300,8918.3,,,,,
,,,,8300,8918.3,,,,,
,,,,8300,8918.3,,,,,
,,,,8300,8918.3,,,,,
,,,,8300,8918.3,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8300,8920,,,,,
,,,,8297.5,8920,,,,,
,,,,8395,8920,,,,,
,,,,8400,8920,,,,,
,,,,8400,8920,,,,,
,,,,8400,8918.3,,,,,
,,,,8400,9042.5,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8400,9045,,,,,
,,,,8405,9045,,,,,
,,,,8400,9045,,,,,
,,,,8405,9045,,,,,
,,,,8405,9045,,,,,
,,,,8405,9045,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9047.5,,,,,
,,,,8405,9045,,,,,
,,,,8410,8955,,,,,
,,,,8405,8955,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,8410,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8960,,,,,
,,,,,8965,,,,,
,,,,,8960,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8965,,,,,
,,,,,8960,,,,,
